block,PCR,plate_ID,vial_ID,temp,emerged,sex,fly_no.,date_pupated,date_emerged,pupation,survived_to_mating,date_mated,M_male_survived_mating,M_female_survived_mating,M_female_survived_laying,M_larval,M_adults,F_female_survived_mating,F_male_survived_mating,F_female_survived_laying1,F_egg1,F_larval1,F_adults1,F_female_survived_laying2,F_egg2,F_larval2,F_adults2,F_female_survived_laying3,F_egg3,F_larval3,F_adults3
3,1,1,7,29.9,1,0,34,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,26,1,22,1,18,1,16,1,2,1,4
3,1,1,7,29.9,1,0,35,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,34,1,17,1,3,1,2,1,0,1,1
3,1,1,7,29.9,1,0,36,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,28,1,14,1,6,1,4,1,7,1,5
3,1,1,7,29.9,1,0,37,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,0,0,0,0,0,,,,0,,,
3,1,1,2,28,1,0,38,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,36,1,33,1,1,1,2,1,11,1,9
3,1,1,2,28,1,0,39,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,28,1,31,1,2,1,3,1,7,1,12
3,1,1,2,28,1,0,40,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,,,,,,,,,,,,,,
3,1,1,2,28,1,0,41,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,24,1,38,1,1,1,2,1,1,0,0
3,1,1,2,28,1,0,42,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,21,1,25,1,0,0,0,1,7,1,11
3,1,1,11,32.6,1,0,43,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,0,0,0,,0,,,,0,,,
3,1,1,11,32.6,1,0,44,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,29,1,21,1,1,0,0,1,1,0,0
3,1,1,11,32.6,1,0,45,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,1,0,46,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,12,1,5,1,0,0,0,1,13,0,0
